epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,64760.9,1.14831,1.07292,1.37309,0.76309,0.68005,0.73751,0.44062,1.49363,1.16961,1.61124,0.0004753,0.0004753,0.0004753
55,65077.2,1.17468,1.07735,1.38947,0.739,0.70343,0.7539,0.44041,1.45695,1.17393,1.57392,0.0004654,0.0004654,0.0004654
56,65510.2,1.19854,1.08118,1.40502,0.82019,0.66119,0.72462,0.43377,1.54747,1.19118,1.66751,0.0004555,0.0004555,0.0004555
57,65849.3,1.20546,1.08703,1.43041,0.7304,0.67942,0.71497,0.42066,1.52776,1.17601,1.69852,0.0004456,0.0004456,0.0004456
58,66240.4,1.17581,1.06123,1.39587,0.82462,0.6602,0.72784,0.42374,1.56646,1.1589,1.69035,0.0004357,0.0004357,0.0004357
59,66594.2,1.19042,1.0589,1.41259,0.75597,0.69907,0.73489,0.43676,1.47742,1.19335,1.62216,0.0004258,0.0004258,0.0004258
60,66959.5,1.17007,1.058,1.38298,0.72125,0.68126,0.70686,0.43349,1.46314,1.21713,1.59136,0.0004159,0.0004159,0.0004159
61,67305.4,1.09791,0.97166,1.33241,0.75694,0.71392,0.74373,0.44453,1.48147,1.14667,1.5884,0.000406,0.000406,0.000406
62,67592.2,1.17306,1.02525,1.37195,0.69192,0.72218,0.72968,0.42834,1.51608,1.19367,1.6517,0.0003961,0.0003961,0.0003961
63,67888.9,1.141,1.00433,1.36132,0.75186,0.6196,0.69699,0.43026,1.43098,1.26073,1.5786,0.0003862,0.0003862,0.0003862
64,68178.1,1.14552,1.01832,1.37213,0.88894,0.56266,0.6794,0.41799,1.4476,1.38267,1.61119,0.0003763,0.0003763,0.0003763
65,68457.8,1.08642,0.95229,1.32448,0.79852,0.59769,0.69458,0.42682,1.40388,1.31812,1.56918,0.0003664,0.0003664,0.0003664
66,68803.2,1.17049,1.03407,1.40065,0.78933,0.64235,0.6832,0.41307,1.56217,1.30804,1.66755,0.0003565,0.0003565,0.0003565
67,69071.8,1.11303,0.99581,1.35768,0.68677,0.65935,0.68241,0.42451,1.45669,1.28993,1.60593,0.0003466,0.0003466,0.0003466
68,69335.7,1.11753,0.99308,1.35859,0.6401,0.66991,0.68028,0.42714,1.45127,1.32632,1.61123,0.0003367,0.0003367,0.0003367
69,69641.2,1.09406,0.98074,1.35011,0.72532,0.62599,0.70535,0.44772,1.4435,1.23434,1.58794,0.0003268,0.0003268,0.0003268
70,70021.3,1.07228,0.94454,1.30616,0.75567,0.65266,0.73188,0.44289,1.46542,1.22495,1.66122,0.0003169,0.0003169,0.0003169
71,70348.6,1.0738,0.9366,1.32237,0.65033,0.71671,0.73569,0.44736,1.45326,1.25305,1.59953,0.000307,0.000307,0.000307
72,70680.4,1.09965,0.97033,1.34074,0.78569,0.61689,0.73331,0.466,1.38811,1.11844,1.53712,0.0002971,0.0002971,0.0002971
73,71001.2,1.05306,0.93113,1.30392,0.82821,0.60888,0.72952,0.45863,1.41274,1.12822,1.58267,0.0002872,0.0002872,0.0002872
74,71291.2,1.02298,0.85471,1.28859,0.69589,0.73913,0.7349,0.44479,1.46577,1.13641,1.61123,0.0002773,0.0002773,0.0002773
